Question,searched chunks,expected top-k chunks to be searched,Top-K searched chunks
آیا بلوبانک نرخ بهره مشخصی برای وام‌ها دارد؟,"[0, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 42]","[17, 18, 30, 14, 16]","[17, 18, 30, 13, 16]"
آیا امکان تغییر شرایط بازپرداخت وام در بلوبانک وجود دارد؟,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43]","[19, 21, 30, 16, 26]","[19, 18, 30, 16, 26]"
آیا بلوبانک وام‌های بلندمدت ارائه می‌دهد؟,"[0, 10, 12, 13, 14, 15, 16, 17, 18, 19, 20, 24, 26, 27, 28, 30, 32, 33, 34, 35]","[20, 13, 17, 16, 14]","[18, 13, 17, 16, 14]"
چه مدارکی برای درخواست وام در بلوبانک نیاز است؟,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42]","[18, 17, 16, 32, 22]","[18, 17, 16, 30, 20]"
چگونه می‌توان از پیشنهادات ویژه وام‌های بلوبانک مطلع شد؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[13, 33, 32, 34, 13]","[10, 33, 32, 34, 13]"
آیا امکان دریافت وام دوم از بلوبانک پس از بازپرداخت وام اول وجود دارد؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[26, 20, 22, 18, 25]","[26, 17, 19, 18, 25]"
آیا بلوبانک برای دانشجویان نیز وام ارائه می‌دهد؟,"[0, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 42]","[13, 33, 17, 16, 18]","[10, 33, 17, 13, 18]"
چه عواملی می‌توانند باعث رد شدن درخواست وام در بلوبانک شوند؟,"[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 39, 40, 41, 42, 43]","[28, 21, 30, 26, 16]","[28, 18, 30, 26, 16]"
آیا بلوبانک طرح‌های تشویقی برای مشتریان وام‌گیرنده دارد؟,"[0, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 42]","[19, 33, 13, 28, 34]","[17, 33, 13, 28, 34]"
چگونه می‌توان از خدمات پشتیبانی بلوبانک در مورد وام‌ها استفاده کرد؟,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]","[14, 28, 32, 17, 23]","[14, 26, 32, 17, 20]"
